d_algic_pagan_reformed;The Algic Congregation;Congrégation algic;Die algic Kongregation;;Congregación algic;;;;;;;;x
d_inuit_pagan_reformed;The Inuit Congregation;Congrégation inuit;Die inuit Kongregation;;Congregación inuit;;;;;;;;x
d_animism_reformed;The Animism Congregation;Congrégation animism;Die animism Kongregation;;Congregación animism;;;;;;;;x
d_dreamtime_religion_reformed;The Dreamtime Congregation;Congrégation dreamtime;Die dreamtime Kongregation;;Congregación dreamtime;;;;;;;;x
d_melanesian_religion_reformed;The Imunu Congregation;Congrégation imunu;Die imunu Kongregation;;Congregación imunu;;;;;;;;x
d_bornean_religion_reformed;The Kaharingan Congregation;Congrégation kaharingan;Die kaharingan Kongregation;;Congregación kaharingan;;;;;;;;x
d_south_bantu_mythology_reformed;The South Bantu Mythology Congregation;Congrégation South Bantu Mythology;Die South Bantu Mythology Kongregation;;Congregación South Bantu Mythology;;;;;;;;x
d_east_bantu_mythology_reformed;The East Bantu Mythology Congregation;Congrégation East Bantu Mythology;Die East Bantu Mythology Kongregation;;Congregación East Bantu Mythology;;;;;;;;x
d_malagasy_religion_reformed;The Andrianerinerinan Congregation;Congrégation Andrianerinerinan;Die Andrianerinerinan Kongregation;;Congregación Andrianerinerinan;;;;;;;;x
d_java_religion_reformed;The Kejawen Congregation;Congrégation Kejawen;Die Kejawen Kongregation;;Congregación Kejawen;;;;;;;;x
d_sulawesi_religion_reformed;The Aluk Congregation;Congrégation Aluk;Die Aluk Kongregation;;Congregación Aluk;;;;;;;;x
d_flores_religion_reformed;The Marapu Congregation;Congrégation Marapu;Die Marapu Kongregation;;Congregación Marapu;;;;;;;;x
d_sumatran_religion_reformed;The Malim Congregation;Congrégation Malim;Die Malim Kongregation;;Congregación Malim;;;;;;;;x
d_philippine_religion_reformed;The Anito Congregation;Congrégation Anito;Die Anito Kongregation;;Congregación Anito;;;;;;;;x
d_taiwanese_religion_reformed;The Inibs Congregation;Congrégation Inibs;Die Inibs Kongregation;;Congregación Inibs;;;;;;;;x
d_jurchen_pagan_reformed;The Abkadahambi Congregation;Congrégation Abkadahambi;Die Abkadahambi Kongregation;;Congregación Abkadahambi;;;;;;;;x
d_omotic_pagan_reformed;The Omotic Congregation;Congrégation Omotic;Die Omotic Kongregation;;Congregación Omotic;;;;;;;;x
d_cushitic_pagan_reformed;The Cushitic Congregation;Congrégation Cushitic;Die Cushitic Kongregation;;Congregación Cushitic;;;;;;;;x
d_maori_religion_reformed;The Maori Congregation;Congrégation maori;Die maori Kongregation;;Congregación maori;;;;;;;;x
d_inti_reformed;The Inti Congregation;Congrégation inti;Die inti Kongregation;;Congregación inti;;;;;;;;x
d_south_american_reformed;The South American Congregation;Congrégation Sud Américain;Die Südamerikanisch Kongregation;;Congregación Sudamericano;;;;;;;;x
